hour,avg_temp_F,temp_F,month,dom,year,doy
0,50.36648750000003,51.668000000000035,3,19,2016,79
1,49.59523823000003,52.46600000000005,3,19,2016,79
2,48.77655115778691,52.4048,3,19,2016,79
3,48.0271915580569,51.29834000000005,3,19,2016,79
4,47.60468460850559,51.40040000000001,3,19,2016,79
5,46.8803347834646,51.19100000000003,3,19,2016,79
6,46.68511980325917,51.98360000000001,3,19,2016,79
7,47.14141536869088,52.31840000000004,3,19,2016,79
8,47.325581563971774,52.57100000000003,3,19,2016,79
9,49.10887282608699,52.743714285714304,3,19,2016,79
10,51.91760084828396,53.99600000000002,3,19,2016,79
11,54.474579374028025,55.666400000000024,3,19,2016,79
12,56.83308511115448,55.76360000000004,3,19,2016,79
13,58.272638755887,56.368400000000065,3,19,2016,79
14,59.74750207345975,56.97320000000002,3,19,2016,79
15,60.299873328718384,57.570800000000034,3,19,2016,79
16,60.288751772979424,57.94880000000003,3,19,2016,79
17,60.27012598527073,57.620000000000026,3,19,2016,79
18,59.2518929464286,56.350400000000036,3,19,2016,79
19,57.89326597444092,56.09120000000005,3,19,2016,79
20,55.96643418590767,54.19040000000005,3,19,2016,79
21,54.306712109375034,52.52000000000004,3,19,2016,79
22,53.04611058386841,51.82520000000002,3,19,2016,79
23,51.525696246006426,51.13040000000004,3,19,2016,79
0,50.36648750000003,50.23922000000005,3,20,2016,80
1,49.59523823000003,49.82360000000001,3,20,2016,80
2,48.77655115778691,48.17071625000005,3,20,2016,80
3,48.0271915580569,46.99341500000008,3,20,2016,80
4,47.60468460850559,49.00280000000002,3,20,2016,80
5,46.8803347834646,45.46927625000004,3,20,2016,80
6,46.68511980325917,45.12248375000003,3,20,2016,80
7,47.14141536869088,47.032340000000026,3,20,2016,80
8,47.325581563971774,47.675356250000036,3,20,2016,80
9,49.10887282608699,50.31728375000004,3,20,2016,80
10,51.91760084828396,52.95920000000001,3,20,2016,80
11,54.474579374028025,55.99040000000006,3,20,2016,80
12,56.83308511115448,59.02160000000002,3,20,2016,80
13,58.272638755887,59.56160000000002,3,20,2016,80
14,59.74750207345975,58.861400000000025,3,20,2016,80
15,60.299873328718384,60.78800000000004,3,20,2016,80
16,60.288751772979424,60.173600000000036,3,20,2016,80
17,60.27012598527073,59.41400000000003,3,20,2016,80
18,59.2518929464286,58.151300000000035,3,20,2016,80
19,57.89326597444092,57.32600000000004,3,20,2016,80
20,55.96643418590767,54.413600000000045,3,20,2016,80
21,54.306712109375034,52.43990000000004,3,20,2016,80
22,53.04611058386841,52.03040000000003,3,20,2016,80
23,51.525696246006426,50.389700000000055,3,20,2016,80
0,50.36648750000003,50.313200000000066,3,21,2016,81
1,49.59523823000003,49.533800000000035,3,21,2016,81
2,48.77655115778691,48.754400000000025,3,21,2016,81
3,48.0271915580569,48.729200000000034,3,21,2016,81
4,47.60468460850559,46.58720000000004,3,21,2016,81
5,46.8803347834646,46.15484000000005,3,21,2016,81
6,46.68511980325917,48.46640000000004,3,21,2016,81
7,47.14141536869088,49.276400000000024,3,21,2016,81
8,47.325581563971774,49.910000000000025,3,21,2016,81
9,49.10887282608699,53.73680000000004,3,21,2016,81
10,51.91760084828396,56.26760000000005,3,21,2016,81
11,54.474579374028025,57.00488000000005,3,21,2016,81
12,56.83308511115448,60.17900000000003,3,21,2016,81
13,58.272638755887,58.43480000000004,3,21,2016,81
14,59.74750207345975,61.06400000000004,3,21,2016,81
15,60.299873328718384,58.70840000000004,3,21,2016,81
16,60.288751772979424,56.04200000000005,3,21,2016,81
17,60.27012598527073,57.01280000000005,3,21,2016,81
18,59.2518929464286,55.60160000000003,3,21,2016,81
